,user,text,time,location,source,like_count,retweet_count
52,Nooluyo35sosyal,"Will and Jada Smith could have 'one of ugliest divorces in showbiz history'
#WillSmith
#jadasmith
https://t.co/s1rBtkAUQy",2022-04-20 12:22:18+00:00,"İzmir, Türkiye",Twitter for Android,0,0
53,herman_oficial2,"Eu particularmente não vejo a necessidade em partilhar fotos de um casal que um deles, já não está entre nós e, sen… https://t.co/kuqSeaI1zi",2022-04-20 06:44:37+00:00,"Mozambique, Nampula",Twitter for iPhone,0,0
54,SigmaDLeo1,"When simping goes too far, #sanji ' s quotes analysis available now on Youtube #onepiece #willsmith #jadasmith 
https://t.co/CneGPTBule",2022-04-20 03:11:01+00:00,Canada,Twitter Web App,0,0
55,Orne444,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-20 03:05:12+00:00,,Twitter for Android,0,163
56,Macysmynametoo,RT @macysmynametoo: GET JIGGY WIT IT♥️ @willsmith @jadasmith https://t.co/K19Dm1XIxF,2022-04-20 02:57:39+00:00,urbn leaf,Twitter for iPhone,0,1
57,faseck90,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-20 02:53:29+00:00,,Twitter for Android,0,163
58,dominiki809,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-20 02:16:13+00:00,Boston,Twitter for iPhone,0,163
59,eud033,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-20 01:26:26+00:00,#CapitaldelaMadera 💚 Py.,Twitter for Android,0,163
60,lupita_bq,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-20 00:51:18+00:00,"Mexico, ME",Twitter for iPhone,0,163
61,astrid_st92,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-20 00:48:45+00:00,,Twitter Web App,0,163
